"asv_name","percent_match","kingdom","phylum","class","order","family","genus","species"
"ASV4923_count_10",89.423,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV5157_count_9",89.09375,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV4913_count_10",90.931,"Bacillati","Actinomycetota","Actinomycetes",NA,NA,NA,NA
"ASV5211_count_9",91.6314,NA,NA,NA,NA,NA,NA,NA
"ASV4938_count_10",87.669,"Metazoa",NA,NA,NA,NA,NA,NA
"ASV4924_count_10",97.794,"Fungi","Basidiomycota","Exobasidiomycetes","Exobasidiales","Brachybasidiaceae","Meira","Meira sp. (in: basidiomycete fungi)"
"ASV5125_count_9",94.872,"Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Methylococcales","Methylococcaceae",NA,NA
"ASV5045_count_10",87.99,"Fungi","Basidiomycota",NA,NA,NA,NA,NA
"ASV5046_count_10",87.097,"Pseudomonadati","Pseudomonadota",NA,NA,NA,NA,NA
"ASV4926_count_10",100,"Pseudomonadati","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter","Anaeromyxobacter dehalogenans"
"ASV5061_count_10",88.33675,"Bacillati","Actinomycetota",NA,NA,NA,NA,NA
"ASV5146_count_9",85.965,"Metazoa",NA,NA,NA,NA,NA,NA
"ASV5047_count_10",89.2945,"Metazoa","Rotifera","Eurotatoria",NA,NA,NA,NA
"ASV5076_count_9",89.972,"Metazoa","Rotifera","Eurotatoria",NA,NA,NA,NA
"ASV5234_count_9",86.917,"Metazoa",NA,NA,NA,NA,NA,NA
