"asv_id","count","percent_match","kingdom","phylum","class","order","family","genus","species"
"ASV9033",3,92.373,"Metazoa","Arthropoda","Insecta","Blattodea",NA,NA,NA
"ASV9362",2,100,"Metazoa","Arthropoda","Insecta","Hymenoptera","Crabronidae",NA,NA
"ASV9212",3,99.594,"Metazoa","Arthropoda","Insecta","Diptera","Sciaridae",NA,NA
"ASV9274",3,89.655,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV9407",2,100,"Metazoa","Arthropoda","Insecta","Hymenoptera",NA,NA,NA
"ASV9310",3,87.097,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV9210",3,99.608,"Metazoa","Arthropoda","Arachnida","Araneae","Theridiidae","Coleosoma","Coleosoma floridanum"
"ASV9416",2,90.196,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV9413",2,90.0086666666667,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV9316",3,89.431,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV9283",3,89.231,"Metazoa","Arthropoda","Arachnida",NA,NA,NA,NA
"ASV9337",3,89.062,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV9322",3,87.963,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV9171",3,94.286,"Metazoa","Arthropoda","Malacostraca","Isopoda","Asellidae",NA,NA
"ASV9396",2,94.872,"Metazoa","Arthropoda","Insecta","Lepidoptera","Elachistidae",NA,NA
"ASV9341",3,88.182,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV9243",3,88.5978,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV9219",3,89.157,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV9563",2,89.552,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV9535",2,97.917,"Metazoa","Arthropoda","Malacostraca","Amphipoda","Hyalidae",NA,NA
"ASV9710",2,100,"Metazoa","Arthropoda","Insecta","Diptera","Simuliidae","Simulium",NA
"ASV9704",2,94.444,"Metazoa","Arthropoda","Arachnida","Araneae",NA,NA,NA
"ASV9457",2,90.0086666666667,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV9467",2,89.431,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV9483",2,100,"Metazoa","Arthropoda","Arachnida","Pseudoscorpiones","Neobisiidae",NA,"Microcreagrinae sp. UAIC<USA-AZ> 1113014"
"ASV9696",2,96.429,"Metazoa","Arthropoda","Collembola","Entomobryomorpha","Isotomidae","Parisotoma",NA
